                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                   1.02,                 1.3124,                 1.4479,                0.74512,                0.53327,                0.62752,                0.44228,                 1.1367,                 1.4106,                 1.5856,             0.00080653,             0.00080653,             0.00080653
                     35,                 1.0075,                 1.2871,                  1.445,                0.69334,                0.54641,                0.64152,                0.43937,                 1.1628,                 1.3144,                 1.5972,             0.00078766,             0.00078766,             0.00078766
                     36,                 1.0026,                 1.2797,                 1.4374,                  0.729,                0.53856,                0.63792,                0.43346,                 1.2173,                  1.339,                 1.6425,              0.0007688,              0.0007688,              0.0007688
                     37,                0.99167,                 1.2577,                 1.4207,                0.75013,                0.55705,                0.64754,                0.44512,                 1.1474,                  1.313,                 1.5826,             0.00074994,             0.00074994,             0.00074994
                     38,                0.96787,                 1.2208,                 1.4085,                0.71784,                0.53529,                0.64238,                 0.4442,                 1.1462,                 1.3619,                 1.5774,             0.00073108,             0.00073108,             0.00073108
                     39,                 0.9777,                 1.2087,                 1.4199,                 0.7102,                0.59269,                0.65819,                0.45983,                 1.1193,                 1.2781,                 1.5416,             0.00071221,             0.00071221,             0.00071221
                     40,                 0.9453,                 1.1819,                 1.3934,                0.66753,                0.60111,                0.66204,                0.45402,                 1.1683,                 1.3116,                 1.6036,             0.00069335,             0.00069335,             0.00069335
                     41,                0.95178,                 1.1735,                 1.3977,                0.74043,                0.58134,                0.68314,                0.47963,                 1.1344,                 1.2406,                 1.5703,             0.00067449,             0.00067449,             0.00067449
                     42,                0.93844,                 1.1508,                 1.3791,                0.73403,                0.57579,                  0.676,                0.46931,                 1.1503,                 1.3116,                 1.5846,             0.00065563,             0.00065563,             0.00065563
                     43,                0.94396,                 1.1287,                  1.382,                0.71505,                 0.5815,                0.65918,                0.46108,                 1.1144,                 1.2598,                 1.5587,             0.00063676,             0.00063676,             0.00063676
                     44,                0.92471,                 1.1058,                 1.3764,                0.75644,                0.58123,                0.67294,                0.46908,                 1.1496,                 1.2852,                 1.5928,              0.0006179,              0.0006179,              0.0006179
                     45,                0.91511,                   1.09,                 1.3618,                0.72282,                0.54914,                0.65447,                0.46023,                   1.16,                 1.3181,                 1.5905,             0.00059904,             0.00059904,             0.00059904
                     46,                0.90858,                 1.0769,                 1.3606,                0.71188,                0.60453,                0.67241,                0.47831,                 1.1218,                 1.2743,                 1.5539,             0.00058017,             0.00058017,             0.00058017
                     47,                0.90153,                 1.0641,                 1.3533,                0.78488,                0.54346,                0.65701,                0.46576,                 1.1203,                 1.2385,                  1.555,             0.00056131,             0.00056131,             0.00056131
