                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.57293,                 1.1796,                0.93194,                 1.0609,                0.78294,                0.58881,                0.66739,                0.52307,                0.76134,                0.57482,                0.62416,                0.44163,                0.85107,                 1.5807,                 1.2881,                 1.3221,             0.00099516,             0.00099516,             0.00099516
                     25,                0.56587,                  1.164,                0.92979,                 1.0525,                0.74038,                0.59955,                0.68409,                0.54179,                0.72104,                0.58012,                0.64221,                0.45223,                0.81814,                 1.5644,                 1.1831,                 1.2823,             0.00097629,             0.00097629,             0.00097629
                     26,                0.57415,                 1.1784,                0.93069,                 1.0549,                0.74146,                0.58543,                0.66892,                0.52429,                0.73022,                0.57945,                0.63393,                0.43827,                0.87736,                 1.6242,                 1.3254,                 1.3315,             0.00095743,             0.00095743,             0.00095743
                     27,                 0.5659,                 1.1393,                0.89113,                 1.0479,                0.80205,                0.60062,                0.69316,                0.55389,                0.81781,                0.57986,                0.65432,                0.46943,                0.83307,                 1.6404,                   1.21,                 1.2986,             0.00093857,             0.00093857,             0.00093857
                     28,                 0.5456,                 1.1387,                0.87085,                 1.0368,                 0.6911,                0.66078,                0.70538,                 0.5654,                0.80665,                0.58127,                0.66957,                0.47947,                0.81906,                 1.5293,                 1.1741,                 1.3027,              0.0009197,              0.0009197,              0.0009197
                     29,                0.52759,                  1.091,                0.82033,                 1.0226,                0.76524,                0.62334,                0.69732,                0.55195,                0.79419,                0.58845,                0.66579,                0.46605,                0.82484,                 1.5428,                 1.1426,                 1.3069,             0.00090084,             0.00090084,             0.00090084
                     30,                0.53088,                 1.1033,                0.83509,                 1.0311,                0.77706,                0.64327,                0.69975,                0.54529,                0.75242,                0.59864,                0.65258,                0.45894,                0.82949,                 1.5017,                 1.2086,                 1.3078,             0.00088198,             0.00088198,             0.00088198
                     31,                0.52638,                 1.0757,                0.81152,                 1.0263,                0.72456,                0.62093,                 0.6761,                 0.5458,                0.79456,                0.56187,                0.64091,                0.45039,                 0.7903,                 1.5727,                 1.2168,                 1.2791,             0.00086312,             0.00086312,             0.00086312
                     32,                0.52375,                 1.0504,                0.79642,                 1.0198,                0.78673,                0.62928,                0.70536,                0.55407,                0.79781,                0.58906,                0.65925,                0.46855,                0.79902,                 1.5103,                 1.1782,                 1.2645,             0.00084425,             0.00084425,             0.00084425
                     33,                0.52663,                 1.0718,                0.79978,                 1.0239,                0.73844,                0.65376,                0.70157,                0.56951,                0.77731,                0.58416,                0.66175,                0.47319,                0.79226,                 1.5465,                 1.1644,                 1.2892,             0.00082539,             0.00082539,             0.00082539
                     34,                0.51312,                 1.0478,                0.75867,                 1.0145,                0.81831,                0.61746,                 0.7056,                0.57123,                0.81837,                0.59184,                0.65138,                0.47439,                0.80468,                 1.5956,                 1.1516,                 1.2897,             0.00080653,             0.00080653,             0.00080653
                     35,                0.50422,                 1.0196,                 0.7579,                 1.0122,                0.80658,                0.64261,                 0.7204,                0.57736,                0.79149,                0.62211,                0.67397,                0.48331,                0.77461,                 1.5404,                 1.1235,                 1.2504,             0.00078766,             0.00078766,             0.00078766
                     36,                0.48924,                0.99935,                0.73945,                 1.0001,                0.74346,                0.67087,                0.71307,                0.57645,                0.75086,                0.61627,                0.67266,                0.48261,                0.77376,                 1.5049,                 1.1123,                 1.2454,              0.0007688,              0.0007688,              0.0007688
                     37,                0.49029,                 1.0069,                0.72569,                 1.0019,                0.73501,                0.67308,                0.73297,                0.59135,                  0.814,                0.59874,                 0.6972,                0.50114,                0.74535,                  1.494,                 1.1146,                 1.2196,             0.00074994,             0.00074994,             0.00074994
                     38,                0.48668,                0.98331,                0.70891,                 1.0012,                0.76835,                0.66652,                0.73311,                0.60198,                0.86256,                0.58511,                0.68875,                0.49963,                0.71351,                 1.4322,                 1.1077,                 1.1964,             0.00073108,             0.00073108,             0.00073108
                     39,                0.49043,                0.96461,                0.71494,                 1.0008,                0.81107,                0.62276,                 0.7149,                0.57866,                0.79865,                0.60478,                0.67172,                0.49112,                0.74859,                 1.4447,                 1.1417,                 1.2352,             0.00071221,             0.00071221,             0.00071221
                     40,                0.47391,                0.95122,                0.68439,                0.99253,                0.78884,                0.64918,                0.71107,                0.57786,                 0.7887,                0.63138,                 0.6717,                0.49338,                0.76734,                 1.5742,                 1.1461,                 1.2549,             0.00069335,             0.00069335,             0.00069335
                     41,                0.46125,                0.92328,                0.66487,                0.98198,                0.78505,                0.64473,                0.70992,                0.57397,                0.77315,                0.62169,                  0.672,                0.47539,                 0.7752,                 1.5039,                 1.1421,                 1.2731,             0.00067449,             0.00067449,             0.00067449
                     42,                0.46472,                0.92234,                0.64856,                0.98856,                0.79204,                0.63826,                0.71789,                0.59526,                0.78146,                0.62538,                0.68968,                0.51078,                0.74047,                 1.4467,                 1.1134,                 1.2196,             0.00065563,             0.00065563,             0.00065563
                     43,                0.45336,                0.91541,                0.64506,                0.98213,                0.80329,                0.66801,                0.73183,                0.60778,                0.79807,                0.63781,                0.69344,                 0.5157,                 0.7386,                 1.4887,                 1.0759,                  1.242,             0.00063676,             0.00063676,             0.00063676
                     44,                0.45605,                0.90834,                0.65045,                 0.9806,                0.81347,                0.63028,                0.70531,                0.58229,                 0.8141,                0.61536,                0.67125,                0.50134,                0.73946,                 1.4111,                 1.1571,                 1.2354,              0.0006179,              0.0006179,              0.0006179
                     45,                0.44875,                0.88622,                0.62584,                0.97536,                0.81399,                0.64987,                0.73436,                0.59996,                0.78277,                0.62555,                0.68737,                 0.5042,                0.72976,                 1.4589,                 1.1233,                 1.2242,             0.00059904,             0.00059904,             0.00059904
                     46,                0.43681,                0.86959,                 0.6057,                0.97132,                0.81857,                0.64628,                0.73089,                0.60098,                0.78667,                0.62199,                0.68718,                  0.509,                0.74032,                  1.442,                 1.0616,                 1.2492,             0.00058017,             0.00058017,             0.00058017
                     47,                0.43749,                0.89744,                0.59841,                0.97472,                0.80509,                0.67235,                0.74511,                0.61679,                0.77175,                0.64698,                0.70368,                0.51872,                0.73593,                 1.4296,                 1.0468,                 1.2423,             0.00056131,             0.00056131,             0.00056131
                     48,                0.43306,                0.88119,                0.58542,                0.97084,                0.78887,                0.66232,                0.72391,                0.60509,                0.78883,                0.63174,                 0.6905,                0.50436,                0.72099,                 1.5282,                 1.1063,                  1.227,             0.00054245,             0.00054245,             0.00054245
